"","2.5 %","97.5 %"
"(Intercept)",-16881.6557762879,-13746.915538683
"room_type1",44.1115801348491,47.4856214680447
"room_type2",-17.4263313627245,-14.0364731736893
"neighbourhood_group1",7.88223540465535,15.3997116652651
"neighbourhood_group2",3.03852341769837,6.45751247323814
"neighbourhood_group3",26.760937094898,30.1711981955657
"neighbourhood_group4",13.3228008032631,18.012380809451
"longitude",-266.082863227525,-230.857510142677
"availability_365",0.0365561565848737,0.0450113966189272
"minimum_nights",-0.1986848643312,-0.141571680384263
"latitude",-88.3362608009676,-57.8437639612979
"calculated_host_listings_count",0.089744168872176,0.130354050989923
"number_of_reviews",-0.0325009510255204,-0.00738977382527753
"reviews_per_month",-0.571694447064086,0.16597669727017
